ip,port,location,ping,type,anonymity
103.30.95.10,4145,Indonesia,1180,SOCKS4,High
103.217.173.246,4145,Indonesia,1120,SOCKS4,High
202.87.248.134,4145,Indonesia,1120,SOCKS4,High
202.150.174.216,4145,Indonesia,1240,SOCKS4,High
116.0.6.241,4145,Indonesia,1160,SOCKS4,High
103.8.57.161,4145,Indonesia,1140,SOCKS4,High
103.36.11.152,4145,Indonesia,1240,SOCKS4,High
103.234.209.2,4145,Indonesia,1140,SOCKS4,High
49.236.220.106,51372,Indonesia,1000,SOCKS4,High
125.162.12.46,1080,Indonesia,1340,SOCKS4,High
123.231.242.114,51372,Indonesia,1500,SOCKS4,High
123.231.228.186,51372,Indonesia,1220,SOCKS4,High
203.130.215.146,1080,Indonesia,1420,SOCKS4,High
103.109.3.204,4145,Indonesia,1120,SOCKS4,High
103.225.172.31,4145,Indonesia,1340,SOCKS4,High
103.30.95.10,4145,Indonesia,1180,SOCKS4,High
103.217.173.246,4145,Indonesia,1120,SOCKS4,High
114.199.112.170,4145,Indonesia,1180,SOCKS4,High
103.81.133.254,4145,Indonesia,1340,SOCKS4,High
202.137.20.234,4145,Indonesia,1080,SOCKS4,High
103.40.55.241,4145,Indonesia,1000,SOCKS4,High
119.2.48.155,51372,Indonesia,1580,SOCKS4,High
120.29.153.86,51372,Indonesia,1300,SOCKS4,High
119.2.53.34,51372,Indonesia,1280,SOCKS4,High
103.247.122.38,8080,Indonesia,3920,HTTP,No
103.109.3.206,4145,Indonesia,2500,SOCKS4,High
117.102.224.38,1080,Indonesia,1440,SOCKS4,High
202.162.204.51,4145,Indonesia,1680,SOCKS4,High
27.131.7.201,4145,Indonesia,1240,SOCKS4,High
117.102.224.10,1080,Indonesia,1420,SOCKS4,High
202.169.236.202,4145,Indonesia,1220,SOCKS4,High
103.91.44.94,4145,Indonesia,1320,SOCKS4,High
43.245.186.82,4145,Indonesia,1100,SOCKS4,High
202.152.135.225,4145,Indonesia,1280,SOCKS4,High
180.250.53.111,4145,Indonesia,1320,SOCKS4,High
103.52.2.81,4145,Indonesia,1080,SOCKS4,High
103.36.11.115,4145,Indonesia,1000,SOCKS4,High
112.78.134.11,1080,Indonesia,1200,SOCKS4,High
111.94.198.241,51372,Indonesia,1060,SOCKS4,High
103.36.9.225,4145,Indonesia,5100,SOCKS4,High
36.37.69.113,1080,Indonesia,3840,SOCKS4,High
183.81.156.173,4145,Indonesia,3320,SOCKS4,High
36.66.85.28,4145,Indonesia,1160,SOCKS4,High
103.253.1.169,4145,Indonesia,1360,SOCKS4,High
103.228.118.57,4145,Indonesia,1400,SOCKS4,High
